source_path,destination_path,detected_domain,keep_skip_review,confidence,title,reason
cache\rss\0414a0cae8e26c422cbc3234e8d46822350be7201ffa071e241101fc000bebc8.pdf,main_pdfs_corrected\unknown\review\rss\0414a0cae8e26c422cbc3234e8d46822350be7201ffa071e241101fc000bebc8.pdf,unknown,review,low,41408506,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\048793376e84cfc9a50cfdeba112497b.pdf,main_pdfs_corrected\physics\review\rss\048793376e84cfc9a50cfdeba112497b.pdf,physics,review,low,Evaporative thermo-fluidics and deposition patterns in,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\04bc4e847574bd8e92d8758083548f9b.pdf,main_pdfs_corrected\physics\review\rss\04bc4e847574bd8e92d8758083548f9b.pdf,physics,review,low,Optical Modulation Due to Energy Exchange Between Photonic,mixed or weak signals; construction=materials; building_context=none; contamination=none; climate=none
cache\rss\06a07821b80851b51ee847500ce227f1.pdf,main_pdfs_corrected\physics\review\rss\06a07821b80851b51ee847500ce227f1.pdf,physics,review,med,3D Finite Element-Based Multiphysics Simulation of a Shape Memory Alloy Hybrid Composite Module,"mixed or weak signals; construction=code, materials; building_context=none; contamination=none; climate=none"
cache\rss\086150b24ff9fba2e0de7660ec9d6979.pdf,main_pdfs_corrected\physics\review\rss\086150b24ff9fba2e0de7660ec9d6979.pdf,physics,review,low,Light-propelled microparticles based on symmetry-broken refractive index profiles,mixed or weak signals; construction=materials; building_context=none; contamination=none; climate=none
cache\rss\0a21751c2a919993e557a1ba67e91de2.pdf,main_pdfs_corrected\physics\review\rss\0a21751c2a919993e557a1ba67e91de2.pdf,physics,review,low,Propagation of laser-generated GHz surface acoustic wavepackets in FeRh/MgO(001) below and above the antiferromagnetic-ferromagnetic phase transition,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\0d68fa3c0ca709a8e9486077f02ec5bf8896429791add4d3ec475c80b57fcdfb.pdf,main_pdfs_corrected\unknown\review\rss\0d68fa3c0ca709a8e9486077f02ec5bf8896429791add4d3ec475c80b57fcdfb.pdf,unknown,review,low,The dynamics of nucleolus-centromeres interaction in living cells,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\0e4722d26a98838ce413273024643135.pdf,main_pdfs_corrected\physics\review\rss\0e4722d26a98838ce413273024643135.pdf,physics,review,low,Magneto-optical imaging of macroscopic altermagnetic domains in MnTe,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\0f6319e3cefbd8a5758cbe5ca28381e5.pdf,main_pdfs_corrected\materials_science\review\rss\0f6319e3cefbd8a5758cbe5ca28381e5.pdf,materials_science,review,low,"be transferred without notice, after which this version may no longer be accessible.",mixed or weak signals; construction=materials; building_context=none; contamination=none; climate=none
cache\rss\12d4cef5b3608fe043a0c3102b7786bb051650ebfb7b901332722119174159ff.pdf,main_pdfs_corrected\unknown\review\rss\12d4cef5b3608fe043a0c3102b7786bb051650ebfb7b901332722119174159ff.pdf,unknown,review,low,Automated extraction of primary cilia-based biomarkers reveals ageing of cells.,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\15b45e04723946e2c91c8986a733faac4245f6da33dafc1f26d4a7454ccc3d41.pdf,main_pdfs_corrected\biomedical\review\rss\15b45e04723946e2c91c8986a733faac4245f6da33dafc1f26d4a7454ccc3d41.pdf,biomedical,review,low,Endosomal hitchhiking and NDR kinase signaling coordinate SsdA-mRNP localization,mixed or weak signals; construction=none; building_context=none; contamination=protein; climate=none
cache\rss\187c040748efb9887dee7df8da3442ea.pdf,main_pdfs_corrected\materials_science\review\rss\187c040748efb9887dee7df8da3442ea.pdf,materials_science,review,med,An Investigation in the Kinetic Persistence of TiO$_2$ Polymorphs using Machine Learning Driven Pathfinding in Crystal Configuration Space,"mixed or weak signals; construction=materials, structural; building_context=none; contamination=none; climate=none"
cache\rss\19c8641eb0ac6abaff65e3ca55e3935f.pdf,main_pdfs_corrected\materials_science\review\rss\19c8641eb0ac6abaff65e3ca55e3935f.pdf,materials_science,review,low,Persistent Free Volume Governs (Anti-)plasticization in Chitosan-Water Mixtures,mixed or weak signals; construction=materials; building_context=none; contamination=none; climate=none
cache\rss\1c8dd7a388a3bb8daf823a59d735afd2.pdf,main_pdfs_corrected\biomedical\review\rss\1c8dd7a388a3bb8daf823a59d735afd2.pdf,biomedical,review,low,PUFFIN: Protein Unit Discovery with Functional Supervision,mixed or weak signals; construction=none; building_context=none; contamination=protein; climate=none
cache\rss\1d4356f9d08860dcaec278dedd4263cc.pdf,main_pdfs_corrected\physics\review\rss\1d4356f9d08860dcaec278dedd4263cc.pdf,physics,review,med,Hierarchical Bayesian inference for community detection and connectivity of functional brain networks,"mixed or weak signals; construction=materials, structural; building_context=none; contamination=none; climate=none"
cache\rss\1e6e5e855ba8ede7ce7206aefe648c26.pdf,main_pdfs_corrected\physics\review\rss\1e6e5e855ba8ede7ce7206aefe648c26.pdf,physics,review,low,"Spontaneous Emission, Free Energy, and Relaxation-Limited Processes in Setting Limits on Solar Energy Conversion Efficiency",mixed or weak signals; construction=structural; building_context=none; contamination=none; climate=none
cache\rss\1e98e632f015b8cf045b20d0ca61aab8.pdf,main_pdfs_corrected\physics\review\rss\1e98e632f015b8cf045b20d0ca61aab8.pdf,physics,review,low,Optimal spin-qubit hallmarks of sulfur-vacancy defects in 4H-SiC: Design,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\21b4ec6e220523a7b3344caaccd2a26b.pdf,main_pdfs_corrected\physics\review\rss\21b4ec6e220523a7b3344caaccd2a26b.pdf,physics,review,med,Disentangling the ferroelectric phases of epitaxial hafnia,"mixed or weak signals; construction=code, materials; building_context=none; contamination=none; climate=none"
cache\rss\2688c4701e735f9345011284c1c66f0f.pdf,main_pdfs_corrected\physics\review\rss\2688c4701e735f9345011284c1c66f0f.pdf,physics,review,low,Design and Verification of a Terahertz Bandpass Filter using a Spoof Surface Plasmon Polariton Waveguide with Gapped Unit Cells,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\2db6ff303f4d75fc7726f606ad673ff7.pdf,main_pdfs_corrected\physics\review\rss\2db6ff303f4d75fc7726f606ad673ff7.pdf,physics,review,low,Compact Continuous Cold Atomic Beam from a Single Cell with 3D Cooling and Ultra-low Light Shift,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\33b965f8249bb36df9c931b7388a1cfd2b737bc15b558f74e92c5dbbacd4333c.pdf,main_pdfs_corrected\unknown\review\rss\33b965f8249bb36df9c931b7388a1cfd2b737bc15b558f74e92c5dbbacd4333c.pdf,unknown,review,low,31525074,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\37c6db8aeb8d31251a682f10c55a223a.pdf,main_pdfs_corrected\unknown\review\rss\37c6db8aeb8d31251a682f10c55a223a.pdf,unknown,review,low,Simulating Human Cognition: Heartbeat-Driven Autonomous Thinking Activity Scheduling for LLM-based AI systems,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\3b29934cac54688af1e321e38d70d67d.pdf,main_pdfs_corrected\physics\review\rss\3b29934cac54688af1e321e38d70d67d.pdf,physics,review,low,Microsoft Word - TaCo2Te2_epi_V2_final,mixed or weak signals; construction=materials; building_context=none; contamination=none; climate=none
cache\rss\3d04bbb685016f9b688b39b47e8ebac3f35a13b1ed14a3e75b40c73428dc6f58.pdf,main_pdfs_corrected\biomedical\review\rss\3d04bbb685016f9b688b39b47e8ebac3f35a13b1ed14a3e75b40c73428dc6f58.pdf,biomedical,review,low,"NAADP elicits two-pore channel currents by lifting Lsm12-mediated inhibition of PI(3,5)P2 activation",mixed or weak signals; construction=none; building_context=none; contamination=protein; climate=none
cache\rss\3e8b5c2344b0408fd99a3a92029e05ff.pdf,main_pdfs_corrected\physics\review\rss\3e8b5c2344b0408fd99a3a92029e05ff.pdf,physics,review,med,Towards Non-van der Waals 2D Topological Insulators,"mixed or weak signals; construction=materials, structural; building_context=none; contamination=none; climate=none"
cache\rss\47eee9997e0b69e0d0e99ec54e71c7de.pdf,main_pdfs_corrected\materials_science\review\rss\47eee9997e0b69e0d0e99ec54e71c7de.pdf,materials_science,review,low,Additively manufactured Shape Memory Alloy Hybrid Composites with a polymer matrix featuring a re-entrant honeycomb structure,mixed or weak signals; construction=structural; building_context=none; contamination=none; climate=none
cache\rss\48c5e4fea42a0aa6f6594738020ba38e.pdf,main_pdfs_corrected\materials_science\review\rss\48c5e4fea42a0aa6f6594738020ba38e.pdf,materials_science,review,low,Mellin-Space Prony Representability of Linear Viscoelastic Models,mixed or weak signals; construction=code; building_context=none; contamination=none; climate=none
cache\rss\4a57a0b7b1c0bc79f2834dc1f2002f3a.pdf,main_pdfs_corrected\physics\review\rss\4a57a0b7b1c0bc79f2834dc1f2002f3a.pdf,physics,review,low,Unity and Diversity of Intracellular pH Maintenance Mechanisms,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\516c7689c0fc3b23dc6f0544a93e4ee3.pdf,main_pdfs_corrected\unknown\review\rss\516c7689c0fc3b23dc6f0544a93e4ee3.pdf,unknown,review,low,Synchronized disease and behavioural dynamics in weakly coupled populations,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\5465b84fe5411f5f2f32f18edc816bd3.pdf,main_pdfs_corrected\physics\review\rss\5465b84fe5411f5f2f32f18edc816bd3.pdf,physics,review,low,Formalizing Poisson-Boltzmann Theory for Field-Tunable Nanofluidic Devices,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\54898384a1282410a5a21b61cd7c7361.pdf,main_pdfs_corrected\unknown\review\rss\54898384a1282410a5a21b61cd7c7361.pdf,unknown,review,low,Retina gap junctions support the robust,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\5581b899209cf302d1b4028ff892a22f.pdf,main_pdfs_corrected\unknown\review\rss\5581b899209cf302d1b4028ff892a22f.pdf,unknown,review,low,A Wide-Regulation-Range Hybrid Switched-Capacitor Converter for 48V Automotive Power Systems,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\57b64e47922d28e0ac65a07898be4f8f.pdf,main_pdfs_corrected\physics\review\rss\57b64e47922d28e0ac65a07898be4f8f.pdf,physics,review,low,Morphological Transition: From Meanders to Mound Structures,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\5986e755707ef34b6b702a742cda2eae3028ac2217dbdb9ce88102b3a60bf0ca.pdf,main_pdfs_corrected\biomedical\review\rss\5986e755707ef34b6b702a742cda2eae3028ac2217dbdb9ce88102b3a60bf0ca.pdf,biomedical,review,med,Nuclear βactin dependent chromatin accessibility governs stem cell pluripotency and extracellular matrix gene programs to maintain cellular biomechanics for cell lineage decisions,mixed or weak signals; construction=none; building_context=none; contamination=stem cell; climate=none
cache\rss\5adfc26b348c065e12ac3d58909f1bc2.pdf,main_pdfs_corrected\materials_science\review\rss\5adfc26b348c065e12ac3d58909f1bc2.pdf,materials_science,review,low,A critical assessment of bonding descriptors for predicting materials properties,mixed or weak signals; construction=materials; building_context=none; contamination=none; climate=none
cache\rss\6012e3c1ae6a8c552268e05cc7e0bd97546e18ba8f4c10a3fccddf0b6370f6a5.pdf,main_pdfs_corrected\physics\review\rss\6012e3c1ae6a8c552268e05cc7e0bd97546e18ba8f4c10a3fccddf0b6370f6a5.pdf,physics,review,low,Identification of loop regions as motifs determining cellular and organ chirality in Myosin 1C,mixed or weak signals; construction=structural; building_context=none; contamination=none; climate=none
cache\rss\60555e99a528319d125215886623ff5d.pdf,main_pdfs_corrected\physics\review\rss\60555e99a528319d125215886623ff5d.pdf,physics,review,low,Controllable highly oriented skyrmion track array in Fe GaTe,mixed or weak signals; construction=materials; building_context=none; contamination=none; climate=none
cache\rss\6198a5aa70bda0564102068ecd3fb425b63ae537d2299a64c5242fcf2d216b8b.pdf,main_pdfs_corrected\unknown\review\rss\6198a5aa70bda0564102068ecd3fb425b63ae537d2299a64c5242fcf2d216b8b.pdf,unknown,review,low,Dynamic profile of malondialdehyde in renal and hepatic ischemia reperfusion injury: an explorative study of internal historical samples,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\61ed84e24258c0a5744e0fa9628d11fa.pdf,main_pdfs_corrected\materials_science\review\rss\61ed84e24258c0a5744e0fa9628d11fa.pdf,materials_science,review,low,Pattern formation during melting of lamellar eutectics,mixed or weak signals; construction=materials; building_context=none; contamination=none; climate=none
cache\rss\651d057955a5c730db38440bf8070a4c.pdf,main_pdfs_corrected\mixed\review\rss\651d057955a5c730db38440bf8070a4c.pdf,mixed,review,low,Canadian climate normals 1951-1980 - Normales climatiques au Canada 1951-1980 v.8,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=climate normals
cache\rss\679e0a5f1e91ec74669b30819f779301.pdf,main_pdfs_corrected\physics\review\rss\679e0a5f1e91ec74669b30819f779301.pdf,physics,review,low,Lattice dynamics and complete polarization analysis of Raman-active modes in LaInO$_3$,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\682663e8ff744514397d045a52599ce8.pdf,main_pdfs_corrected\physics\review\rss\682663e8ff744514397d045a52599ce8.pdf,physics,review,low,Layer-dependent quantum transport in KV2Se2O-based altermagnetic tunnel junctions,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\6a871ff39f5685deccd292ac22036e24c26690d1b027df202840126acb04fd56.pdf,main_pdfs_corrected\materials_science\review\rss\6a871ff39f5685deccd292ac22036e24c26690d1b027df202840126acb04fd56.pdf,materials_science,review,low,"Comprehensive BioImaging Study of the Red Permanent Marker Ink:  Re-purposing for Cells Imaging Including Cytoplasmic Membrane Visualization and Comparison with Rhodamine 6G, Deep Red Cell Mask, and DiBAC",mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\6bd34f607368b8be9c352d48de85ce3f.pdf,main_pdfs_corrected\materials_science\review\rss\6bd34f607368b8be9c352d48de85ce3f.pdf,materials_science,review,med,Dislocation-ledge coupling governs semicoherent,"mixed or weak signals; construction=materials, structural; building_context=none; contamination=none; climate=none"
cache\rss\6bf3f9d3528bfcd50f830a71ed317266.pdf,main_pdfs_corrected\construction_science\review\rss\6bf3f9d3528bfcd50f830a71ed317266.pdf,construction_science,review,low,Acoustic Analogy of Quantum Baldin Sum Rule for Optimal Causal Scattering,mixed or weak signals; construction=none; building_context=wall; contamination=none; climate=none
cache\rss\707b52cf1b4bb2a87b6a195142739f464c8387c1d074cb1b74a4dd09fa68df80.pdf,main_pdfs_corrected\unknown\review\rss\707b52cf1b4bb2a87b6a195142739f464c8387c1d074cb1b74a4dd09fa68df80.pdf,unknown,review,low,Arachidonic acid availability controls neutrophil swarm initiation and scaling,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\737761c14f72147728ac9897f7270e6e.pdf,main_pdfs_corrected\physics\review\rss\737761c14f72147728ac9897f7270e6e.pdf,physics,review,low,Prediction of room-temperature two-dimensional $\pi$-electron half-metallic ferrimagnets,mixed or weak signals; construction=materials; building_context=none; contamination=none; climate=none
cache\rss\7381af26d2143df3b0a9a0be3021e00b2465b1e582ae3b26cf5db1d65fdc6092.pdf,main_pdfs_corrected\unknown\review\rss\7381af26d2143df3b0a9a0be3021e00b2465b1e582ae3b26cf5db1d65fdc6092.pdf,unknown,review,low,Dynamic dissociation of the IFT complex drives ciliary dysfunction during C. elegans ageing,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\74c18c8abd727fc0fc343b2851a5be4d45b47b8358793999a2939319a2a0485e.pdf,main_pdfs_corrected\unknown\review\rss\74c18c8abd727fc0fc343b2851a5be4d45b47b8358793999a2939319a2a0485e.pdf,unknown,review,low,Developmental regulation of kinetochore phosphorylation determines mitotic fidelity,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\78eebb779c4d3a323e34b35f62b4038e.pdf,main_pdfs_corrected\unknown\review\rss\78eebb779c4d3a323e34b35f62b4038e.pdf,unknown,review,low,Bounds on the sequence length sufficient to reconstruct binary level-$1$ phylogenetic networks under the CFN model,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\82786849a63aacf9054a5a9564a484d0.pdf,main_pdfs_corrected\physics\review\rss\82786849a63aacf9054a5a9564a484d0.pdf,physics,review,med,Electrochemical Performance of Gold Monolayers for Lithium-Ion Batteries: A First-,"mixed or weak signals; construction=materials, structural; building_context=none; contamination=none; climate=none"
cache\rss\87352570ecc5daad8a555c491c9421ff83d8c9f5a77e81a8388769d2522b8aeb.pdf,main_pdfs_corrected\unknown\review\rss\87352570ecc5daad8a555c491c9421ff83d8c9f5a77e81a8388769d2522b8aeb.pdf,unknown,review,low,Determinants of CCT motif specificity in WNK signaling and expansion of CCT like domains,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\8a294980b8d503e5c8722f401b67d95f.pdf,main_pdfs_corrected\physics\review\rss\8a294980b8d503e5c8722f401b67d95f.pdf,physics,review,low,High sub-bandgap response and fast switching enabled by thermal,mixed or weak signals; construction=materials; building_context=none; contamination=none; climate=none
cache\rss\8e3997397511d4e3ece990a19af62086444a88ca4d09dcd6b36cf1c5f9f6a8ee.pdf,main_pdfs_corrected\physics\review\rss\8e3997397511d4e3ece990a19af62086444a88ca4d09dcd6b36cf1c5f9f6a8ee.pdf,physics,review,low,Lipids Regulate Export of Lysosomal Enzymes from the Endoplasmic Reticulum,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\8fe00707c368ab30ba0a86dc53d87881c8724028bcb80ecd0be3ed109cfa6e33.pdf,main_pdfs_corrected\materials_science\review\rss\8fe00707c368ab30ba0a86dc53d87881c8724028bcb80ecd0be3ed109cfa6e33.pdf,materials_science,review,low,"A neuropsychiatric disease-associated mutation in LRRC8B disrupts cellular calcium signaling, mitochondrial function, and bioenergetics",mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\9054d668b171500bd0c850a799c44ecef78a0935ec3398186e5a93d1ceb1ef01.pdf,main_pdfs_corrected\unknown\review\rss\9054d668b171500bd0c850a799c44ecef78a0935ec3398186e5a93d1ceb1ef01.pdf,unknown,review,low,Intermediate induction of germline apoptosis maintains fertility and progeny fitness during temperature stress,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\90fa3111f22b6ad0609680b426f07b17.pdf,main_pdfs_corrected\physics\review\rss\90fa3111f22b6ad0609680b426f07b17.pdf,physics,review,low,Obstructed Cooper pairs in flat band systems - weakly-coherent superfluids and exact spin liquids,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\92bf24c5b4019a29b716194f6857db8e.pdf,main_pdfs_corrected\unknown\review\rss\92bf24c5b4019a29b716194f6857db8e.pdf,unknown,review,low,QualiaNet: An Experience-Before-Inference Network,mixed or weak signals; construction=structural; building_context=none; contamination=none; climate=none
cache\rss\9600938981aa946224715e950717cdbcb99af433bffa589627ec38d427148246.pdf,main_pdfs_corrected\materials_science\review\rss\9600938981aa946224715e950717cdbcb99af433bffa589627ec38d427148246.pdf,materials_science,review,low,Saturated cardiolipins are potent disruptors of inner mitochondrial membrane structure and function,mixed or weak signals; construction=structural; building_context=none; contamination=none; climate=none
cache\rss\9777f4ee66531259e65be405dc53db1a.pdf,main_pdfs_corrected\unknown\review\rss\9777f4ee66531259e65be405dc53db1a.pdf,unknown,review,low,Inferring the dynamics of underdamped stochastic systems,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\995581721f7cef643822373569859fc4.pdf,main_pdfs_corrected\unknown\review\rss\995581721f7cef643822373569859fc4.pdf,unknown,review,low,Robust Evaluation of Neural Encoding Models,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\99fb01f4403fd764800d73e8d8a71468.pdf,main_pdfs_corrected\physics\review\rss\99fb01f4403fd764800d73e8d8a71468.pdf,physics,review,low,Continual Learning for fMRI-Based Brain Disorder Diagnosis via Functional Connectivity Matrices Generative Replay,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\9c900132e5178b13dbc30cdd913b6813.pdf,main_pdfs_corrected\unknown\review\rss\9c900132e5178b13dbc30cdd913b6813.pdf,unknown,review,low,Mamba-SSM with LLM Reasoning for Biomarker Discovery: Causal Feature Refinement via Chain-of-Thought Gene Evaluation,mixed or weak signals; construction=code; building_context=none; contamination=none; climate=none
cache\rss\9d4253e03cd3e5037aae276003c554a57b6d38edc16bde989426da0766c910a0.pdf,main_pdfs_corrected\biomedical\review\rss\9d4253e03cd3e5037aae276003c554a57b6d38edc16bde989426da0766c910a0.pdf,biomedical,review,low,Adaptation of white adipocytes to cooler temperatures: impacts on energy metabolism and protein acetylation,mixed or weak signals; construction=none; building_context=none; contamination=protein; climate=none
cache\rss\a236d3dc7e68a998d25cc6047ae5a939.pdf,main_pdfs_corrected\unknown\review\rss\a236d3dc7e68a998d25cc6047ae5a939.pdf,unknown,review,low,a236d3dc7e68a998d25cc6047ae5a939,failed to scan PDF (PdfminerException) — see logs
cache\rss\a44dd10b5c080f4a589bacc46fcde769.pdf,main_pdfs_corrected\physics\review\rss\a44dd10b5c080f4a589bacc46fcde769.pdf,physics,review,low,Fully Atomic-Layer-Deposited Vertical Complementary FeRAM with,mixed or weak signals; construction=materials; building_context=none; contamination=none; climate=none
cache\rss\a826780f36e3bf0d75e8312ffcffafd2.pdf,main_pdfs_corrected\unknown\review\rss\a826780f36e3bf0d75e8312ffcffafd2.pdf,unknown,review,low,Combining Bayesian and Frequentist Inference for Laboratory-Specific Performance Guarantees in Copy Number Variation Detection,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\a969862b646ac57cadf0701326bec709.pdf,main_pdfs_corrected\biomedical\review\rss\a969862b646ac57cadf0701326bec709.pdf,biomedical,review,med,Direct Laser Micromachining of,mixed or weak signals; construction=none; building_context=none; contamination=biological sample; climate=none
cache\rss\aac3aec00f8da1de7266658589af34b9.pdf,main_pdfs_corrected\physics\review\rss\aac3aec00f8da1de7266658589af34b9.pdf,physics,review,low,Separating Intrinsic and Domain-Mediated Anomalous Hall Conductivity in Co$_3$Sn$_2$S$_2$ via Contact Engineering,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\ac8b097da7f665d8572f70aaef862a3c.pdf,main_pdfs_corrected\physics\review\rss\ac8b097da7f665d8572f70aaef862a3c.pdf,physics,review,low,Magnet-Free Nonreciprocal frequency conversion using Sequential Temporal modulation: Theory and Simulations,mixed or weak signals; construction=materials; building_context=none; contamination=none; climate=none
cache\rss\ad1e8631b8e7330c060cbe696de79fe0.pdf,main_pdfs_corrected\physics\review\rss\ad1e8631b8e7330c060cbe696de79fe0.pdf,physics,review,low,Thermal conductivity tuning of scalable nanopatterned silicon membranes measured with a three-probe method,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\b34007addcb027a15490bee71a3620ad.pdf,main_pdfs_corrected\physics\review\rss\b34007addcb027a15490bee71a3620ad.pdf,physics,review,low,Reversable phase transitions in ferroic two-dimensional Nb2O2I4 through optically excited coherent phonons,mixed or weak signals; construction=materials; building_context=none; contamination=none; climate=none
cache\rss\b3ff4902a6a4f5e5a9ed42713701fa8d32feb4e106b6a1319c5b01b76fd86e4a.pdf,main_pdfs_corrected\unknown\review\rss\b3ff4902a6a4f5e5a9ed42713701fa8d32feb4e106b6a1319c5b01b76fd86e4a.pdf,unknown,review,low,83069637,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\b44324db33bc1f6fcd78f9f7f451ef75.pdf,main_pdfs_corrected\physics\review\rss\b44324db33bc1f6fcd78f9f7f451ef75.pdf,physics,review,low,Correlative Microstructural Analysis of a Weathered Nantan Meteorite Fragment,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\b7b5a50c645e645e06496b3396b23ad4b9cfc3929475825723055a396d2dc78b.pdf,main_pdfs_corrected\unknown\review\rss\b7b5a50c645e645e06496b3396b23ad4b9cfc3929475825723055a396d2dc78b.pdf,unknown,review,low,86350164,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\ba1b6283130968d97ab9a235208f0ef9.pdf,main_pdfs_corrected\physics\review\rss\ba1b6283130968d97ab9a235208f0ef9.pdf,physics,review,low,Toroidal Plasmonic Nanodimers for Enhanced Near-Infrared Emission in,mixed or weak signals; construction=materials; building_context=none; contamination=none; climate=none
cache\rss\bb22c14aa18fa56c2b39830590922d2b.pdf,main_pdfs_corrected\physics\review\rss\bb22c14aa18fa56c2b39830590922d2b.pdf,physics,review,low,First-Principles Electronegativity Scale from the Atomic Mean Inner Potential,mixed or weak signals; construction=none; building_context=none; contamination=none; climate=none
cache\rss\be9103671821e9376335bafa0b073cb2.pdf,main_pdfs_corrected\physics\review\rss\be9103671821e9376335bafa0b073cb2.pdf,physics,review,med,"First-principles study of infrared, Raman, piezoelectric and elastic properties of Mg-IV-N\textsubscript{2} (IV = Ge, Si, Sn)","mixed or weak signals; construction=materials, structural; building_context=none; contamination=none; climate=none"
