entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,first_seen,last_seen
neural_cell,astrocytes,cell_type,primary,440,34,astrocyte; astrocytes,2026-01-23T12:22:48Z,2026-01-23T12:50:35Z
model,In vivo,unknown,primary,392,65,In vivo,2026-01-23T12:22:48Z,2026-01-23T13:58:26Z
neural_cell,microglia,cell_type,primary,320,27,microglia,2026-01-23T12:22:49Z,2026-01-23T12:50:20Z
neural_cell,neurons,cell_type,primary,312,63,neuron; neurons,2026-01-23T12:22:48Z,2026-01-24T16:34:33Z
neural_cell,neuronal,cell_type,primary,118,42,neuronal,2026-01-23T12:22:48Z,2026-01-24T16:32:25Z
indication,ALZHEIMER,disease,primary,116,23,Alzheimer; Alzheimer's disease,2026-01-23T12:23:00Z,2026-01-23T12:52:06Z
target,RECEPTOR,protein,primary,95,44,RECEPTOR,2026-01-23T12:22:54Z,2026-01-24T16:33:26Z
model,In vitro,unknown,primary,94,31,In vitro,2026-01-23T12:22:48Z,2026-01-23T13:58:26Z
neural_cell,microglial,cell_type,primary,92,23,microglial,2026-01-23T12:22:50Z,2026-01-23T12:50:18Z
target,MTOR,protein,primary,79,11,MTOR,2026-01-23T12:24:33Z,2026-01-24T16:33:29Z
pathway,cell death,pathway,primary,68,23,cell death,2026-01-23T12:23:07Z,2026-01-24T16:34:45Z
pathway,AUTOPHAGY,pathway,primary,60,10,autophagy,2026-01-23T12:22:57Z,2026-01-24T16:34:45Z
indication,stroke,disease,primary,59,8,stroke,2026-01-23T12:22:49Z,2026-01-23T12:52:04Z
model,CSF,biofluid,primary,58,13,CSF,2026-01-23T12:23:00Z,2026-01-23T12:49:44Z
model,Mitochondrial,unknown,primary,52,14,Mitochondrial,2026-01-23T12:22:57Z,2026-01-23T13:57:59Z
neural_cell,astrocytic,cell_type,primary,52,13,astrocytic,2026-01-23T12:22:48Z,2026-01-23T12:50:19Z
compound,RAPAMYCIN,drug,primary,48,10,RAPAMYCIN,2026-01-23T12:24:34Z,2026-01-23T13:56:16Z
target,TNF,protein,primary,47,14,TNF,2026-01-23T12:23:00Z,2026-01-23T12:49:15Z
indication,dementia,disease,primary,42,13,dementia,2026-01-23T12:23:00Z,2026-01-23T12:52:06Z
model,Mitochondria,unknown,primary,41,14,Mitochondria,2026-01-23T12:30:10Z,2026-01-23T13:58:06Z
assay,efficacy,metric,primary,40,16,efficacy,2026-01-23T12:23:20Z,2026-01-23T12:48:54Z
indication,multiple sclerosis,disease,primary,40,7,multiple sclerosis,2026-01-23T12:22:54Z,2026-01-23T12:47:35Z
target,KINASE,protein,primary,38,21,KINASE,2026-01-23T12:23:00Z,2026-01-24T16:34:42Z
indication,inflammation,disease,primary,38,20,inflammation,2026-01-23T12:23:26Z,2026-01-23T12:50:19Z
assay,microscopy,assay,primary,36,11,microscopy,2026-01-23T12:28:38Z,2026-01-23T12:48:22Z
stem_cell,differentiation,,primary,36,23,differentiation,2026-01-23T12:22:54Z,2026-01-24T16:34:37Z
model,Cerebrospinal fluid,biofluid,primary,36,9,Cerebrospinal fluid,2026-01-23T12:36:41Z,2026-01-23T12:49:40Z
target,TNF-Α,protein,primary,35,10,TNF-Α,2026-01-23T12:23:00Z,2026-01-23T12:49:15Z
target,NF-ΚB,protein,primary,31,6,NF-ΚB,2026-01-23T12:28:04Z,2026-01-24T16:33:29Z
indication,PARKINSON,disease,primary,31,12,Parkinson; Parkinson's disease,2026-01-23T12:23:00Z,2026-01-23T12:52:05Z
pathway,reduction,pathway,primary,30,18,reduction,2026-01-23T12:23:20Z,2026-01-24T16:33:27Z
pathway,NF-κB,pathway,primary,30,6,NF-κB,2026-01-23T12:28:04Z,2026-01-24T16:33:29Z
pathway,mTOR,pathway,primary,28,7,mTOR,2026-01-23T12:24:33Z,2026-01-24T16:33:29Z
stem_cell,stem cell,,primary,27,13,stem cell,2026-01-23T12:23:00Z,2026-01-24T16:33:29Z
assay,immunofluorescence,assay,primary,27,9,immunofluorescence,2026-01-23T12:27:49Z,2026-01-23T12:51:43Z
pathway,Wnt,pathway,primary,27,2,Wnt,2026-01-23T12:34:09Z,2026-01-23T12:43:17Z
model,Transgenic,unknown,primary,26,15,Transgenic,2026-01-23T12:27:37Z,2026-01-23T13:57:19Z
model,TUMOR,unknown,primary,23,13,TUMOR,2026-01-23T12:22:49Z,2026-01-23T13:58:22Z
model,Drosophila,unknown,primary,21,8,Drosophila,2026-01-23T12:30:18Z,2026-01-23T13:58:06Z
indication,autoimmune,disease,primary,20,9,autoimmune,2026-01-23T12:22:54Z,2026-01-23T12:49:15Z
indication,neurodegenerative disease,disease,primary,20,5,neurodegenerative disease,2026-01-23T12:38:57Z,2026-01-23T12:50:52Z
stem_cell,iPSC,,primary,20,7,IPSC,2026-01-23T12:23:00Z,2026-01-23T13:54:33Z
pathway,transcription,pathway,primary,19,12,transcription,2026-01-23T12:23:00Z,2026-01-24T16:33:26Z
target,IL-1Β,protein,primary,18,9,IL-1Β,2026-01-23T12:28:05Z,2026-01-23T12:49:08Z
assay,clearance,metric,primary,18,7,clearance,2026-01-23T12:23:06Z,2026-01-23T12:48:56Z
target,AMPK,protein,primary,18,8,AMPK,2026-01-23T12:42:57Z,2026-01-24T16:33:25Z
pathway,PHOSPHORYLATION,pathway,primary,17,8,phosphorylation,2026-01-23T12:34:48Z,2026-01-23T12:49:49Z
indication,neurodegeneration,disease,primary,17,12,neurodegeneration,2026-01-23T12:22:57Z,2026-01-23T12:52:06Z
indication,depression,disease,primary,17,11,depression,2026-01-23T12:31:25Z,2026-01-23T12:50:27Z
target,CASPASE,protein,primary,16,10,CASPASE,2026-01-23T12:30:40Z,2026-01-24T16:32:28Z
pathway,translation,pathway,primary,16,12,translation,2026-01-23T12:38:51Z,2026-01-24T16:33:30Z
pathway,APOPTOSIS,pathway,primary,15,8,apoptosis,2026-01-23T12:29:49Z,2026-01-23T12:48:58Z
model,Rabbit,unknown,primary,15,7,Rabbit,2026-01-23T12:23:21Z,2026-01-23T13:58:21Z
indication,CANCER,disease,primary,14,12,cancer,2026-01-23T12:23:20Z,2026-01-23T12:51:45Z
assay,reproducibility,assay,primary,13,7,reproducibility,2026-01-23T12:27:36Z,2026-01-23T12:49:43Z
indication,infection,disease,primary,13,10,infection,2026-01-23T12:23:14Z,2026-01-23T12:48:47Z
target,IL-6,protein,primary,12,8,IL-6,2026-01-23T12:22:49Z,2026-01-23T12:48:30Z
pathway,phagocytosis,pathway,primary,12,8,phagocytosis,2026-01-23T12:23:20Z,2026-01-23T12:48:55Z
model,In situ,unknown,primary,12,7,In situ,2026-01-23T12:32:01Z,2026-01-23T13:55:47Z
assay,precision,assay,primary,12,7,precision,2026-01-23T12:23:29Z,2026-01-23T12:46:08Z
target,AKT,protein,primary,11,4,AKT,2026-01-23T12:41:24Z,2026-01-24T16:33:25Z
pathway,pyroptosis,pathway,primary,11,2,pyroptosis,2026-01-23T12:39:00Z,2026-01-23T12:41:32Z
pathway,proliferation,pathway,primary,11,8,proliferation,2026-01-23T12:24:16Z,2026-01-24T16:33:25Z
assay,ELISA,assay,primary,11,3,ELISA,2026-01-23T12:34:40Z,2026-01-23T12:47:41Z
pathway,migration,pathway,primary,11,7,migration,2026-01-23T12:34:39Z,2026-01-23T12:47:17Z
model,CHO,unknown,primary,11,6,CHO,2026-01-23T12:32:38Z,2026-01-23T13:52:51Z
assay,FLOW CYTOMETRY,assay,primary,11,4,flow cytometry,2026-01-23T12:34:40Z,2026-01-23T12:49:44Z
indication,migraine,disease,primary,10,2,migraine,2026-01-23T12:32:55Z,2026-01-23T12:36:46Z
pathway,AGGREGATION,pathway,primary,10,5,aggregation,2026-01-23T12:23:11Z,2026-01-23T12:49:32Z
pathway,lysosome,pathway,primary,10,4,lysosome,2026-01-23T12:39:55Z,2026-01-24T16:34:41Z
model,Cytoplasmic,unknown,primary,10,8,Cytoplasmic,2026-01-23T12:23:11Z,2026-01-23T13:57:57Z
assay,affinity,metric,primary,10,4,affinity,2026-01-23T12:29:48Z,2026-01-23T12:49:44Z
model,Primate,unknown,primary,10,3,Primate,2026-01-23T12:38:01Z,2026-01-23T12:48:18Z
target,OXIDASE,protein,primary,9,4,OXIDASE,2026-01-23T12:22:57Z,2026-01-23T12:48:56Z
target,PI3K,protein,primary,9,6,PI3K,2026-01-23T12:36:07Z,2026-01-24T16:33:25Z
pathway,mTORC1,pathway,primary,9,3,mTORC1,2026-01-24T16:32:24Z,2026-01-24T16:34:42Z
pathway,TGF-β,pathway,primary,9,7,TGF-β,2026-01-23T12:23:00Z,2026-01-23T12:48:50Z
pathway,secretion,pathway,primary,9,6,secretion,2026-01-23T12:23:05Z,2026-01-24T16:32:28Z
target,CAT,protein,primary,9,7,CAT,2026-01-23T12:22:52Z,2026-01-23T13:55:45Z
model,DMEM,unknown,primary,9,6,DMEM,2026-01-23T12:41:26Z,2026-01-23T13:55:59Z
pathway,exocytosis,pathway,primary,9,6,exocytosis,2026-01-23T12:24:16Z,2026-01-24T16:34:49Z
assay,WESTERN BLOT,assay,primary,9,5,Western blot,2026-01-23T12:27:45Z,2026-01-23T12:47:41Z
model,Zebrafish,unknown,primary,9,5,Zebrafish,2026-01-23T12:27:37Z,2026-01-23T13:57:41Z
model,Cytoplasm,unknown,primary,8,5,Cytoplasm,2026-01-23T12:29:15Z,2026-01-23T13:57:25Z
pathway,necrosis,pathway,primary,8,8,necrosis,2026-01-23T12:22:49Z,2026-01-24T16:32:21Z
pathway,trafficking,pathway,primary,8,5,trafficking,2026-01-23T12:30:36Z,2026-01-23T12:49:49Z
target,MAPK,protein,primary,8,6,MAPK,2026-01-23T12:23:20Z,2026-01-24T16:33:29Z
target,UBIQUITIN,protein,primary,8,4,UBIQUITIN,2026-01-23T12:44:32Z,2026-01-24T16:34:45Z
model,BSA,unknown,primary,8,5,BSA,2026-01-23T12:28:05Z,2026-01-23T12:49:22Z
pathway,senescence,pathway,primary,7,3,senescence,2026-01-24T16:32:28Z,2026-01-24T16:34:44Z
target,SYNTHASE,protein,primary,7,6,SYNTHASE,2026-01-23T12:34:47Z,2026-01-24T16:33:39Z
model,Ex vivo,unknown,primary,7,4,Ex vivo,2026-01-23T12:33:37Z,2026-01-23T12:45:15Z
indication,schizophrenia,disease,primary,7,4,schizophrenia,2026-01-23T12:32:03Z,2026-01-23T12:44:40Z
pathway,immune response,pathway,primary,7,6,immune response,2026-01-23T12:22:49Z,2026-01-24T16:33:19Z
stem_cell,MSC,,primary,7,6,MSC,2026-01-23T12:28:20Z,2026-01-23T12:49:21Z
model,MEM,unknown,primary,7,7,MEM,2026-01-23T12:29:51Z,2026-01-23T13:58:00Z
indication,anxiety,disease,primary,7,3,anxiety,2026-01-23T12:32:15Z,2026-01-23T12:50:41Z
model,HIPSC,unknown,primary,7,2,HIPSC,2026-01-23T12:23:04Z,2026-01-23T12:44:06Z
pathway,oxidative stress,pathway,primary,7,6,oxidative stress,2026-01-23T12:23:13Z,2026-01-24T16:32:23Z
target,NRF2,protein,primary,7,4,NRF2,2026-01-23T12:22:51Z,2026-01-23T12:48:55Z
target,FOXO1,protein,primary,6,2,FOXO1,2026-01-23T13:52:49Z,2026-01-24T16:33:25Z
indication,COVID-19,disease,primary,6,4,COVID-19,2026-01-23T12:36:40Z,2026-01-23T12:47:17Z
model,Extract,unknown,primary,6,3,Extract,2026-01-23T12:43:50Z,2026-01-23T13:54:47Z
target,TRANSPORTER,protein,primary,6,5,TRANSPORTER,2026-01-23T12:23:20Z,2026-01-23T12:44:32Z
assay,signal-to-noise ratio,assay,primary,6,2,signal-to-noise ratio,2026-01-23T12:38:51Z,2026-01-23T12:48:09Z
target,NFKB,protein,primary,6,3,NFKB,2026-01-23T12:22:49Z,2026-01-24T16:32:48Z
target,SYNTHETASE,protein,primary,6,2,SYNTHETASE,2026-01-23T12:40:10Z,2026-01-24T16:33:29Z
pathway,cAMP,pathway,primary,6,5,cAMP,2026-01-23T12:39:43Z,2026-01-23T12:48:58Z
stem_cell,pluripotent,,primary,6,6,pluripotent,2026-01-23T12:23:00Z,2026-01-23T13:54:32Z
model,Hek293,cell_line,primary,6,1,Hek293,2026-01-23T13:55:59Z,2026-01-23T13:56:05Z
pathway,mTORC2,pathway,primary,6,1,mTORC2,2026-01-24T16:33:25Z,2026-01-24T16:33:29Z
compound,EVEROLIMUS,drug,primary,5,1,EVEROLIMUS,2026-01-23T13:56:09Z,2026-01-23T13:56:16Z
model,Primates,unknown,primary,5,5,Primates,2026-01-23T12:34:58Z,2026-01-23T13:52:20Z
target,COX-2,protein,primary,5,3,COX-2,2026-01-23T12:34:47Z,2026-01-23T12:39:02Z
target,IL6,protein,primary,5,4,IL6,2026-01-23T12:40:19Z,2026-01-23T12:49:19Z
model,Knockout,unknown,primary,5,5,Knockout,2026-01-23T12:23:07Z,2026-01-23T12:50:37Z
indication,pain,disease,primary,5,4,pain,2026-01-23T12:32:57Z,2026-01-23T12:50:41Z
pathway,cyclin,pathway,primary,5,2,cyclin,2026-01-23T12:37:36Z,2026-01-23T12:43:56Z
pathway,signal transduction,pathway,primary,5,5,signal transduction,2026-01-23T12:30:22Z,2026-01-24T16:33:19Z
pathway,endocytosis,pathway,primary,5,4,endocytosis,2026-01-23T12:35:57Z,2026-01-23T12:49:47Z
pathway,NF-kB,pathway,primary,5,2,NF-kB,2026-01-23T12:34:47Z,2026-01-23T12:48:55Z
target,PHOSPHATASE,protein,primary,5,4,PHOSPHATASE,2026-01-23T12:36:25Z,2026-01-23T13:57:28Z
target,TNFA,protein,primary,5,3,TNFA,2026-01-23T12:22:49Z,2026-01-23T13:54:33Z
target,SIRT6,protein,primary,5,1,SIRT6,2026-01-23T13:55:23Z,2026-01-23T13:55:25Z
model,IPSC,unknown,primary,5,4,IPSC,2026-01-23T12:23:00Z,2026-01-23T12:40:19Z
assay,selectivity,metric,primary,5,4,selectivity,2026-01-23T12:31:25Z,2026-01-23T12:48:19Z
neural_cell,oligodendrocytes,cell_type,primary,5,4,oligodendrocyte; oligodendrocytes,2026-01-23T12:22:48Z,2026-01-23T12:41:34Z
compound,METFORMIN,drug,primary,4,2,METFORMIN,2026-01-23T13:52:48Z,2026-01-23T13:55:14Z
pathway,ferroptosis,pathway,primary,4,2,ferroptosis,2026-01-23T12:34:14Z,2026-01-23T12:45:09Z
target,ERK,protein,primary,4,3,ERK,2026-01-23T12:36:13Z,2026-01-24T16:33:25Z
pathway,PI3K/AKT,pathway,primary,4,2,PI3K/AKT,2026-01-23T12:41:24Z,2026-01-23T12:45:07Z
pathway,PKA,pathway,primary,4,3,PKA,2026-01-23T12:42:28Z,2026-01-24T16:34:42Z
target,AKT1,protein,primary,4,2,AKT1,2026-01-23T12:27:37Z,2026-01-24T16:33:25Z
stem_cell,organoid,,primary,4,4,organoid,2026-01-23T12:36:12Z,2026-01-23T12:44:06Z
pathway,β-catenin,pathway,primary,4,1,β-catenin,2026-01-23T12:43:03Z,2026-01-23T12:43:15Z
pathway,Ras,pathway,primary,4,3,Ras,2026-01-23T12:42:28Z,2026-01-24T16:33:25Z
model,Culture media,unknown,primary,4,1,Culture media,2026-01-23T12:48:24Z,2026-01-23T12:48:26Z
compound,SIROLIMUS,drug,primary,4,2,SIROLIMUS,2026-01-23T13:52:22Z,2026-01-23T13:56:11Z
target,PERK,protein,primary,4,1,PERK,2026-01-23T13:55:10Z,2026-01-24T16:33:29Z
target,IRE1,protein,primary,4,1,IRE1,2026-01-23T13:55:10Z,2026-01-24T16:33:34Z
target,P53,protein,primary,4,2,P53,2026-01-23T13:54:55Z,2026-01-23T13:57:37Z
model,Fibroblasts,unknown,primary,4,2,Fibroblasts,2026-01-23T12:23:01Z,2026-01-23T13:58:11Z
indication,malaria,disease,primary,4,2,malaria,2026-01-23T12:34:46Z,2026-01-23T12:42:58Z
pathway,STAT3,pathway,primary,4,2,STAT3,2026-01-23T12:34:48Z,2026-01-23T12:42:01Z
indication,chronic inflammation,disease,primary,3,3,chronic inflammation,2026-01-23T12:32:25Z,2026-01-23T12:49:00Z
neural_cell,motor neuron,cell_type,primary,3,1,motor neuron,2026-01-23T12:23:11Z,2026-01-23T12:23:15Z
assay,accuracy,assay,primary,3,3,accuracy,2026-01-23T12:30:24Z,2026-01-23T12:48:23Z
assay,half-life,metric,primary,3,3,half-life,2026-01-23T12:40:26Z,2026-01-23T12:47:43Z
neural_cell,neural progenitor,cell_type,primary,3,3,neural progenitor,2026-01-23T12:23:00Z,2026-01-24T16:33:27Z
indication,DIABETES,disease,primary,3,2,diabetes,2026-01-23T12:34:17Z,2026-01-23T12:48:38Z
target,SOD1,protein,primary,3,2,SOD1,2026-01-23T12:23:00Z,2026-01-23T13:55:36Z
pathway,protein synthesis,pathway,primary,3,3,protein synthesis,2026-01-23T12:36:27Z,2026-01-23T12:50:38Z
pathway,UPR,pathway,primary,3,1,UPR,2026-01-24T16:33:26Z,2026-01-24T16:33:30Z
pathway,cGMP,pathway,primary,3,3,cGMP,2026-01-23T12:23:20Z,2026-01-23T12:39:43Z
neural_cell,interneuron,cell_type,primary,3,2,interneuron,2026-01-23T12:47:49Z,2026-01-24T16:34:34Z
target,MYC,protein,primary,3,3,MYC,2026-01-23T12:43:54Z,2026-01-23T13:54:54Z
target,TRANSFERASE,protein,primary,3,2,TRANSFERASE,2026-01-23T12:41:30Z,2026-01-23T13:57:25Z
